clean_file,noisy_file
spectrograms/clean/p233_125.npy,spectrograms/noisy/p233_125.npy
spectrograms/clean/p251_069.npy,spectrograms/noisy/p251_069.npy
spectrograms/clean/p314_283.npy,spectrograms/noisy/p314_283.npy
spectrograms/clean/p278_153.npy,spectrograms/noisy/p278_153.npy
spectrograms/clean/p306_269.npy,spectrograms/noisy/p306_269.npy
spectrograms/clean/p233_021.npy,spectrograms/noisy/p233_021.npy
spectrograms/clean/p272_137.npy,spectrograms/noisy/p272_137.npy
spectrograms/clean/p274_242.npy,spectrograms/noisy/p274_242.npy
spectrograms/clean/p363_045.npy,spectrograms/noisy/p363_045.npy
spectrograms/clean/p233_023.npy,spectrograms/noisy/p233_023.npy
spectrograms/clean/p360_406.npy,spectrograms/noisy/p360_406.npy
spectrograms/clean/p326_234.npy,spectrograms/noisy/p326_234.npy
spectrograms/clean/p277_014.npy,spectrograms/noisy/p277_014.npy
spectrograms/clean/p226_296.npy,spectrograms/noisy/p226_296.npy
spectrograms/clean/p271_098.npy,spectrograms/noisy/p271_098.npy
spectrograms/clean/p335_043.npy,spectrograms/noisy/p335_043.npy
spectrograms/clean/p363_361.npy,spectrograms/noisy/p363_361.npy
spectrograms/clean/p302_168.npy,spectrograms/noisy/p302_168.npy
spectrograms/clean/p231_207.npy,spectrograms/noisy/p231_207.npy
spectrograms/clean/p310_147.npy,spectrograms/noisy/p310_147.npy
spectrograms/clean/p339_043.npy,spectrograms/noisy/p339_043.npy
spectrograms/clean/p333_362.npy,spectrograms/noisy/p333_362.npy
spectrograms/clean/p243_261.npy,spectrograms/noisy/p243_261.npy
spectrograms/clean/p233_106.npy,spectrograms/noisy/p233_106.npy
spectrograms/clean/p292_144.npy,spectrograms/noisy/p292_144.npy
spectrograms/clean/p306_254.npy,spectrograms/noisy/p306_254.npy
spectrograms/clean/p287_003.npy,spectrograms/noisy/p287_003.npy
spectrograms/clean/p351_280.npy,spectrograms/noisy/p351_280.npy
spectrograms/clean/p287_208.npy,spectrograms/noisy/p287_208.npy
spectrograms/clean/p268_015.npy,spectrograms/noisy/p268_015.npy
spectrograms/clean/p374_138.npy,spectrograms/noisy/p374_138.npy
spectrograms/clean/p287_198.npy,spectrograms/noisy/p287_198.npy
spectrograms/clean/p307_199.npy,spectrograms/noisy/p307_199.npy
spectrograms/clean/p226_001.npy,spectrograms/noisy/p226_001.npy
spectrograms/clean/p260_198.npy,spectrograms/noisy/p260_198.npy
spectrograms/clean/p228_145.npy,spectrograms/noisy/p228_145.npy
spectrograms/clean/p263_206.npy,spectrograms/noisy/p263_206.npy
spectrograms/clean/p237_042.npy,spectrograms/noisy/p237_042.npy
spectrograms/clean/p276_124.npy,spectrograms/noisy/p276_124.npy
spectrograms/clean/p279_222.npy,spectrograms/noisy/p279_222.npy
spectrograms/clean/p246_205.npy,spectrograms/noisy/p246_205.npy
spectrograms/clean/p308_373.npy,spectrograms/noisy/p308_373.npy
spectrograms/clean/p312_024.npy,spectrograms/noisy/p312_024.npy
spectrograms/clean/p307_071.npy,spectrograms/noisy/p307_071.npy
spectrograms/clean/p307_001.npy,spectrograms/noisy/p307_001.npy
spectrograms/clean/p308_102.npy,spectrograms/noisy/p308_102.npy
spectrograms/clean/p281_420.npy,spectrograms/noisy/p281_420.npy
spectrograms/clean/p244_277.npy,spectrograms/noisy/p244_277.npy
spectrograms/clean/p243_305.npy,spectrograms/noisy/p243_305.npy
spectrograms/clean/p271_090.npy,spectrograms/noisy/p271_090.npy
spectrograms/clean/p271_190.npy,spectrograms/noisy/p271_190.npy
spectrograms/clean/p270_173.npy,spectrograms/noisy/p270_173.npy
spectrograms/clean/p303_252.npy,spectrograms/noisy/p303_252.npy
spectrograms/clean/p231_081.npy,spectrograms/noisy/p231_081.npy
spectrograms/clean/p263_245.npy,spectrograms/noisy/p263_245.npy
spectrograms/clean/p316_403.npy,spectrograms/noisy/p316_403.npy
spectrograms/clean/p298_316.npy,spectrograms/noisy/p298_316.npy
spectrograms/clean/p259_013.npy,spectrograms/noisy/p259_013.npy
spectrograms/clean/p299_208.npy,spectrograms/noisy/p299_208.npy
spectrograms/clean/p313_019.npy,spectrograms/noisy/p313_019.npy
spectrograms/clean/p345_305.npy,spectrograms/noisy/p345_305.npy
spectrograms/clean/p341_262.npy,spectrograms/noisy/p341_262.npy
spectrograms/clean/p274_123.npy,spectrograms/noisy/p274_123.npy
spectrograms/clean/p259_095.npy,spectrograms/noisy/p259_095.npy
spectrograms/clean/p254_394.npy,spectrograms/noisy/p254_394.npy
spectrograms/clean/p335_343.npy,spectrograms/noisy/p335_343.npy
spectrograms/clean/p251_302.npy,spectrograms/noisy/p251_302.npy
spectrograms/clean/p316_062.npy,spectrograms/noisy/p316_062.npy
spectrograms/clean/p304_183.npy,spectrograms/noisy/p304_183.npy
spectrograms/clean/p345_154.npy,spectrograms/noisy/p345_154.npy
spectrograms/clean/p254_096.npy,spectrograms/noisy/p254_096.npy
spectrograms/clean/p246_016.npy,spectrograms/noisy/p246_016.npy
spectrograms/clean/p361_350.npy,spectrograms/noisy/p361_350.npy
spectrograms/clean/p230_175.npy,spectrograms/noisy/p230_175.npy
spectrograms/clean/p287_233.npy,spectrograms/noisy/p287_233.npy
spectrograms/clean/p264_167.npy,spectrograms/noisy/p264_167.npy
spectrograms/clean/p361_041.npy,spectrograms/noisy/p361_041.npy
spectrograms/clean/p255_118.npy,spectrograms/noisy/p255_118.npy
spectrograms/clean/p306_136.npy,spectrograms/noisy/p306_136.npy
spectrograms/clean/p243_116.npy,spectrograms/noisy/p243_116.npy
spectrograms/clean/p246_039.npy,spectrograms/noisy/p246_039.npy
spectrograms/clean/p279_270.npy,spectrograms/noisy/p279_270.npy
spectrograms/clean/p248_331.npy,spectrograms/noisy/p248_331.npy
spectrograms/clean/p360_387.npy,spectrograms/noisy/p360_387.npy
spectrograms/clean/p247_225.npy,spectrograms/noisy/p247_225.npy
spectrograms/clean/p302_041.npy,spectrograms/noisy/p302_041.npy
spectrograms/clean/p305_283.npy,spectrograms/noisy/p305_283.npy
spectrograms/clean/p305_030.npy,spectrograms/noisy/p305_030.npy
